,text,gpe,country,score,classified
9425,RT @senjudiciary: TODAY: Chairman @LindseyGrahamSC urges Prime Ministers of Australia Italy and the United Kingdom to continue working wit…,Italy,Italy,0.4215,Positive
4683,When I am President Russia will respect us far more than they do now and....,Russia,Russia,0.4767,Positive
7281,We are dealing from great strength but China likewise has much to gain if and when a deal is completed.,China,China,0.85,Positive
7548,Highly respected Senator Richard Burr Chairman of Senate Intelligence said today that after an almost two year investigation he saw no evidence of Russia collusion.,Russia,Russia,0.6478,Positive
7746,After 52 years it is time for the United States to fully recognize Israel’s Sovereignty over the Golan Heights which is of critical strategic and security importance to the State of Israel and Regional Stability!,Israel,Israel,0.69,Positive
8434,....Sanctions come off Iran and they become a productive and prosperous nation again - The sooner the better!,Iran,Iran,0.7424,Positive
3237,@CarlyFiorina Carly—I did graduate from Wharton and did very well.,@CarlyFiorina,San Marino,0.3384,Positive
7650,Great meetings and dinner tonight in Vietnam with Kim Jong Un of North Korea.,Vietnam,Vietnam,0.6249,Positive
9943,Hard to believe but if Nancy Pelosi had put our great Trade Deal with Mexico and Canada USMCA up for a vote long ago our economy would be even better.,Canada,Canada,0.8834,Positive
7456,For decades politicians promised to secure the border fix our trade deals bring back our factories get tough on China move the Embassy to Jerusalem make NATO pay their fair share and so much else - only to do NOTHING (or worse)....,China,China,0.7579,Positive
5626,Join me live at the 2018 World Economic Forum in Davos Switzerland!,Switzerland,Switzerland,0.3595,Positive
10596,Russia wants him to win!,Russia,Russia,0.6239,Positive
2209,The 5-star @Trump_Ireland graces over 500 acres fronting 2.5 miles on the Atlantic Ocean in County Clare Ireland http://t.co/BkfUkVENlH,Clare Ireland,Ireland,0.3818,Positive
5251,It was an honor to welcome President @MarianoraJoy of Spain.,Spain,Spain,0.7351,Positive
5909,He will be a fantastic  Senator for the Great State of Ohio and has my full endorsement!,the Great State,Zimbabwe,0.8832,Positive
5921,The United States and all of its GREAT people should be very proud of what is now taking place in Korea!,Korea,South Korea,0.9065,Positive
8104,Our beautiful embassy stands as a proud reminder of our strong relationship with Israel and of the importance of keeping a promise and standing for the truth.,Israel,Israel,0.9468,Positive
10082,Melania and I send our warmest wishes to Jewish people in the United States Israel and across the world as you commence the 8-day celebration of Hanukkah.,Israel,Israel,0.7269,Positive
7284,A solution for North Korea is a great thing for China and ALL!,North Korea,North Korea,0.7712,Positive
10242,Also good for China and our long term relationship.,China,China,0.4404,Positive
820,Remember while @BarackObama is lauding himself tonight with self-indulgent compliments we have our brave soldiers fighting in Afghanistan.,Afghanistan,Afghanistan,0.5574,Positive
7915,China is adding great stimulus to its economy while at the same time keeping interest rates low.,China,China,0.7184,Positive
6650,North Korea has just staged their parade celebrating 70th anniversary of founding without the customary display of nuclear missiles.,North Korea,North Korea,0.5719,Positive
8280,....talks with Mexico will resume tomorrow with the understanding that if no agreement is reached Tariffs at the 5% level will begin on Monday with monthly increases as per schedule.,Mexico,Mexico,0.34,Positive
7302,Very strong signals being sent by China once they returned home from their long trip including stops from Argentina.,Argentina,Argentina,0.4576,Positive
5370,Together we dream of a Korea that is free a peninsula that is safe and families that are reunited once again!,Korea,South Korea,0.8172,Positive
4321,Russia has more warheads than ever N Korea is testing nukes and Iran got a sweetheart deal to keep theirs.,N Korea,North Korea,0.6486,Positive
1830,Wow China's growth accelerated 7.8% in third quarter.,China,China,0.7506,Positive
4604,The President of Taiwan CALLED ME today to wish me congratulations on winning the Presidency.,Taiwan,Taiwan,0.875,Positive
8730,...We look forward to continuing our positive dialogue with China on a comprehensive Trade Deal and feel that the future between our two countries will be a very bright one!,China,China,0.8436,Positive
6708,.....China has been taking advantage of the United States on Trade for many years.,China,China,0.5859,Positive
6228,RT @realDonaldTrump: Congressman Ron DeSantis a top student at Yale and Harvard Law School is running for Governor of the Great State of…,the Great State,Zimbabwe,0.7096,Positive
8332,Sad when you think about it but Mexico right now is doing more for the United States at the Border than the Democrats in Congress!,Mexico,Mexico,0.5167,Positive
9322,RT @AriFleischer: “Hunter took the position with a Ukrainian natural gas company just a few weeks after his father visited Ukraine in 2014…,Ukraine,Ukraine,0.3612,Positive
1887,You provide a great and important service to the people of Scotland!,Scotland,United Kingdom,0.7345,Positive
7770,Mexico has for many years made a fortune off of the U.S. far greater than Border Costs.,Mexico,Mexico,0.3612,Positive
1261,Our food stamp rolls now surpass the entire population of Spain http://t.co/pFQ5cnmz We must do better or we will be Greece.,Spain,Spain,0.4404,Positive
733,Best meatloaf in the City--my mother's famous recipe.,City,None,0.6369,Positive
8358,I just met with the Queen of England (U.K.) the Prince of Whales the P.M. of the United Kingdom the P.M. of Ireland the President of France and the President of Poland.,U.K.,United Kingdom,0.4215,Positive
1366,I ask again how much is very wealthy South Korea paying the United States for protecting it against North Korea?,South Korea,South Korea,0.6801,Positive
10522,RT @TomFitton: Meanwhile Obama gang interfered in Russia election interference investigation to protect Obama's emails while crookedly spy…,Russia,Russia,0.3818,Positive
