,date,text,GPE
0,2019/04/10_17:08,From a big NBA fan congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzkiâ€”not just all-time greats but class acts too.,[]
1,2019/04/06_06:16,In just a few minutes Iâ€™m taking the stage at the @ObamaFoundation Town Hall Europe for a conversation about how to best support civic leaders carrying out good work across the continent.,[]
2,2019/04/06_06:16,I hope youâ€™ll tune in live at http://obama.orgÂ .https://twitter.com/ObamaFoundation/status/1114516881870872577Â â€¦,[]
3,2019/04/05_09:25,A voice everybody should hear.https://twitter.com/ncaawbb/status/1113842633481310212Â â€¦,[]
4,2019/04/04_12:23,Hereâ€™s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it.,['Nashville']
5,2019/04/04_12:23,They just broke ground on a free grocery store to help families in need:https://apnews.com/2f5bdd226a674fd7bd9dca97c172475cÂ â€¦,[]
6,2019/04/03_12:07,Great to see Chicagoâ€™s historic mayoral race between two highly qualified candidates.,[]
7,2019/04/03_12:07,Congrats to our next mayor Lori Lightfootâ€”and Toni Preckwinkle campaigned hard and did us proud.,[]
8,2019/04/03_12:07,I know that with our cityâ€™s heart and Loriâ€™s leadership Chicagoâ€™s best days are still ahead.,[]
9,2019/04/02_06:08,Valerie is one of my oldest friends and advisors â€“ she was by my side when I first decided to run for office and for every major moment of the presidency.,[]
10,2019/04/02_06:08,@ValerieJarrett's voice has often inspired me and I know â€œFinding My Voiceâ€� will inspire others to lift their voices too.pic.twitter.com/nWTBDByMoz,[]
11,2019/03/26_11:33,Last night I had the chance to meet with first-term Democrats in Congressâ€”it's a young diverse class stocked with a bunch of my campaign and administration alums whoâ€™ve taken the torch.,['Congressâ€”it']
12,2019/03/26_11:33,This group is going to be driving progress for a long time to come.pic.twitter.com/W5dDlDtNzE,[]
13,2019/03/21_08:43,Just in the nick of time: My brackets have never been my one shining moment but here we go again.,[]
14,2019/03/21_08:43,You can check out my #MarchMadness picks here: https://go.obama.org/2019-bracketÂ pic.twitter.com/EcCUdnZjun,[]
15,2019/03/20_07:20,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabweÂ â€¦,['Zimbabwe']
16,2019/03/20_07:19,The floods in the Midwest and in southern Africa are heartbreaking.,[]
17,2019/03/20_07:19,Suffering and loss on two sides of the world calls for solidarity and strength from all of us.,[]
18,2019/03/20_07:19,Ask what you can do to help our fellow Americans and families in need.,[]
19,2019/03/20_07:19,Here are some ideas:https://www.pbs.org/newshour/nation/how-to-help-those-affected-by-the-midwest-floodingÂ â€¦,[]
20,2019/03/17_06:56,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life.,['Moneygall']
21,2019/03/17_06:56,I'll always be grateful for the warmth and generosity of the Irish people.,[]
22,2019/03/17_06:56,Happy St. Patrick's Day!,"[""St. Patrick's Day""]"
23,2019/03/17_06:56,-Barack Oâ€™Bamapic.twitter.com/abDtarFbR5,[]
24,2019/03/15_06:15,Michelle and I send our condolences to the people of New Zealand.,['New Zealand']
25,2019/03/15_06:15,We grieve with you and the Muslim community.,[]
26,2019/03/15_06:15,All of us must stand against hatred in all its forms.,[]
27,2019/03/14_13:36,.,[]
28,2019/03/14_13:36,@MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week.,[]
29,2019/03/14_13:36,Our Special Olympians are terrific examples of Americaâ€™s heart and drive.,[]
30,2019/03/12_11:48,What a great moment.,[]
31,2019/03/12_11:48,Happy 110th Virginia.https://twitter.com/MichelleObama/status/1105480037271289856Â â€¦,[]
32,2019/03/10_18:02,Michelle and I send our deepest sympathies to all who knew the victims of todayâ€™s plane crash in Ethiopia.,['Ethiopia']
33,2019/03/08_08:03,The Crew Dragonâ€™s been on quite a ride since I last saw itâ€”congrats to @NASA and @SpaceX on a successful return!,[]
34,2019/03/08_08:03,We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and itâ€™s great to see that happening.pic.twitter.com/Dsu5mZcaCZ,['U.S.']
35,2019/03/08_05:34,Preethi Alice and Sefora are just three of many @ObamaFoundation leaders who remind us what International Womenâ€™s Day is all about: imagining a world free of artificial ceilings for the next generationâ€”and doing the hard work to get us there.,[]
36,2019/03/08_05:31,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up.,['@SeforaKodjo']
37,2019/03/08_05:31,Her organization is training and mentoring young women across the continent to adopt a new model of leadership one that puts gender equality at the heart of economic development.pic.twitter.com/cRb4EKcrvv,[]
38,2019/03/08_05:31,.,[]
39,2019/03/08_05:31,@BarbeAlice is helping refugees resettle into welcoming communities in France offering them job training and language immersion as well as a place to stay.,['France']
40,2019/03/08_05:31,More importantly sheâ€™s fighting a narrative that suggests our differences are more important than our shared humanity.pic.twitter.com/jNIiKIAZaO,[]
41,2019/03/08_05:30,.,[]
42,2019/03/08_05:30,@preethiherman is helping women unleash their power to change their societies.,[]
43,2019/03/08_05:30,As head of the http://Change.orgÂ  Foundation sheâ€™s leading an initiative that combines online tools with in-person organizing giving women a voice in her native Indiaâ€”and beyond.pic.twitter.com/TKuAKVL5Y1,[]
44,2019/03/08_05:29,On International Womenâ€™s Day Iâ€™m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits.,[]
45,2019/03/08_05:29,And Iâ€™m celebrating some of the women who are building that future for all of us today.,[]
46,2019/02/21_11:01,Itâ€™s up to all of us as citizens to make sure that the rules of democracy are fairâ€”everywhereâ€”because the next decade of our nation's progress is on the line.,[]
47,2019/02/21_11:01,Join me and @allontheline in the fight against gerrymandering: http://allontheline.orgÂ .pic.twitter.com/rKchS3ltLI,[]
48,2019/02/20_20:41,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player.,[]
49,2019/02/20_20:41,Wishing him a speedy recovery.,[]
50,2019/02/19_16:02,Iâ€™m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color about the challenges that confront them and the opportunities within their grasp.,[]
51,2019/02/19_16:02,Tune in at http://obama.orgÂ .,[]
52,2019/02/16_12:40,Iâ€™ve always loved basketball because itâ€™s about building a team thatâ€™s equal to more than the sum of its parts.,['thatâ€™']
53,2019/02/16_12:40,Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208Â â€¦,['court.https://twitter.com/NBA/status/1096862836989534208Â']
54,2019/02/14_10:32,Happy Valentineâ€™s Day to the extraordinarily smart beautiful funny one and only @MichelleObama.,[]
55,2019/02/14_10:32,Itâ€™s true; she does get down to Motown.pic.twitter.com/uypbZsEiqB,[]
56,2019/02/14_07:18,In the year since their friends were killed the students of Parkland refused to settle for the way things are and marched organized and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country.,['Parkland']
57,2019/02/14_07:18,I'm proud of all of them.,[]
58,2019/02/13_19:10,Donâ€™t be sad itâ€™s over be proud it taught us so much.,[]
