,Unnamed: 0,date,text,gpe,country,score
1,1,2019/03/26_11:33,Last night I had the chance to meet with first-term Democrats in Congressâ€”it's a young diverse class stocked with a bunch of my campaign and administration alums whoâ€™ve taken the torch.,Congressâ€”it,Italy,0.25
2,2,2019/03/20_07:20,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabweÂ â€¦,Zimbabwe,Zimbabwe,0.1027
3,3,2019/03/17_06:56,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life.,Moneygall,Ireland,0.0
5,5,2019/03/15_06:15,Michelle and I send our condolences to the people of New Zealand.,New Zealand,New Zealand,0.0
6,6,2019/03/10_18:02,Michelle and I send our deepest sympathies to all who knew the victims of todayâ€™s plane crash in Ethiopia.,Ethiopia,Ethiopia,-0.6124
8,8,2019/03/08_05:31,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up.,@SeforaKodjo,Central African Republic,0.29600000000000004
9,9,2019/03/08_05:31,@BarbeAlice is helping refugees resettle into welcoming communities in France offering them job training and language immersion as well as a place to stay.,France,France,0.7351
10,10,2019/02/16_12:40,Iâ€™ve always loved basketball because itâ€™s about building a team thatâ€™s equal to more than the sum of its parts.,thatâ€™,None,0.5994
11,11,2019/02/16_12:40,Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208Â â€¦,court.https://twitter.com/NBA/status/1096862836989534208Â,Brazil,0.4588
15,15,2018/12/29_08:15,Leaders like Moussa Kondo and Sandor Lederer who are each doing their part to fight corruption in their native countries of Mali and Hungary.,Hungary,None,-0.0258
21,21,2018/11/06_08:26,Go to http://IWillVote.comÂ  or call 833-336-VOTE to confirm where you can vote and check voting hours.pic.twitter.com/6xdMbKhwkr,http://IWillVote.comÂ  ,None,0.0
24,24,2018/09/29_09:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change.,Amsterdam,Netherlands,-0.1027
27,27,2018/06/08_09:01,â€œLow plastic stool cheap but delicious noodles cold Hanoi beer.â€� This is how Iâ€™ll remember Tony.,Hanoi,Vietnam,0.7227
29,29,2018/04/23_12:13,I canâ€™t wait to spend some time with @ObamaFoundation Leaders and look forward to honoring the Mandela legacy in Johannesburg this summer.https://twitter.com/obamafoundation/status/988475935463759878Â â€¦,Johannesburg,South Africa,0.5106
32,32,2018/03/19_08:10,In Singapore with young people who are advocating for education empowering young women and getting involved all over Southeast Asia with a profoundly optimistic commitment to building the world they want to see.https://twitter.com/ganeshmuren/status/975711729609920512Â â€¦,Singapore,Singapore,0.6369
46,46,2017/10/16_15:59,I'm grateful to @SenJohnMcCain for his lifetime of service to our country.,@SenJohnMcCain,Senegal,0.4588
48,48,2017/09/19_19:30,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight.,Mexico,Mexico,0.4767
49,49,2017/08/17_12:15,Michelle and I are thinking of the victims and their families in Barcelona.,Barcelona,Spain,-0.3182
50,50,2017/05/27_06:15,Good to see my friend Prince Harry in London to discuss the work of our foundations & offer condolences to victims of the Manchester attack.https://twitter.com/kensingtonroyal/status/868418451970379776Â â€¦,London,United Kingdom,0.5859
51,51,2017/05/23_09:56,Our hearts go out to those killed and wounded in Manchester.,Manchester,United Kingdom,-0.6705
52,52,2017/05/23_09:56,Americans will always stand shoulder to shoulder with the people of the UK.,UK,United Kingdom,0.0
53,53,2017/03/23_06:00,My heart goes out to the victims and their families in London.,London,United Kingdom,-0.3182
54,54,2017/01/22_10:07,It was one of the best parts of the job â€“ hearing from you.https://nyti.ms/2jAhB2PÂ,you.https://nyti.ms/2jAhB2PÂ,France,0.6369
55,55,2016/10/31_13:12,Usted y su familia merecen la tranquilidad de saber que estÃ¡n cubiertos.,cubiertos,None,0.0
58,58,2016/09/14_10:50,http://ofa.bo/2cIlvVNÂ  #DoYourJobpic.twitter.com/IwO7CAoVm2,http://ofa.bo/2cIlvVNÂ,Russia,0.0
63,63,2016/08/29_10:19,Obstructionâ€”especially when it comes to the Supreme Courtâ€”is nothing to be proud of @SenateMajLdr.,@SenateMajLdr,None,0.2607
68,68,2016/08/20_09:04,http://ofa.bo/2bEPI3XÂ,http://ofa.bo/2bEPI3XÂ,Russia,0.0
75,75,2016/07/28_12:41,Wildfire seasons are getting longer more dangerous and more expensive.,Wildfire,None,-0.5256
77,77,2016/07/14_09:27,http://ofa.bo/iATsÂ  #DoYourJob,http://ofa.bo/iATsÂ,Russia,0.0
85,85,2016/06/21_13:52,http://ofa.bo/vb1Â  #ActOnClimate,http://ofa.bo/vb1Â,Russia,0.0
90,90,2016/05/20_13:51,Check out editorials from across the country calling on senators to fill the Supreme Court vacancy: http://ofa.bo/e5wpÂ  #DoYourJob,http://ofa.bo/e5wpÂ  ,None,0.5574
91,91,2016/05/18_15:03,Tell him in person: http://ofa.bo/fABWÂ pic.twitter.com/F83AdfUC8H,http://ofa.bo/fABWÂ,Russia,0.0
95,95,2016/05/02_11:46,Read what editorial boards across the country have to say about the #SCOTUS vacancy: http://ofa.bo/uRAÂ,http://ofa.bo/uRAÂ,Russia,0.0
100,100,2016/04/08_10:04,http://ofa.bo/b5wEÂ,http://ofa.bo/b5wEÂ,Russia,0.0
102,102,2016/04/07_10:03,Show your support for the proposal to expand paid sick leaveâ€”add a comment today: http://ofa.bo/hACxÂ  #LeadOnLeave,http://ofa.bo/hACxÂ,Russia,0.1779
104,104,2016/04/07_08:34,The U.S. is the only advanced nation that doesn't guarantee paid sick leaveâ€”it's time to change that.,leaveâ€”it,Italy,0.4519
115,115,2016/03/25_11:46,Tell Senate leaders to do their jobs and give Judge Garland a fair hearing: http://ofa.bo/uLaÂ  #DoYourJobpic.twitter.com/3hWl3k4gla,http://ofa.bo/uLaÂ,Russia,0.3182
118,118,2016/03/10_15:06,The United States and Canada are joining together to reduce methane pollution.,Canada,Canada,0.4215
122,122,2016/03/01_09:02,Today's the 55th birthday of the @PeaceCorps.,@PeaceCorps,France,0.0
124,124,2016/02/23_07:31,http://ofa.bo/xAuÂ,http://ofa.bo/xAuÂ,Russia,0.0
129,129,2016/02/09_08:38,http://ofa.bo/b5ciÂ  #ActOnClimate,http://ofa.bo/b5ciÂ,Russia,0.0
131,131,2016/01/30_08:35,Have a worry-free weekend and take care of this right now: http://ofa.bo/z081Â  #GetCoveredpic.twitter.com/loHWJlPGNx,http://ofa.bo/z081Â,Russia,0.4939
133,133,2016/01/19_07:58,Because of American diplomacy all of Iran's pathways to a nuclear weapon have been blocked.,Iran,Iran,-0.5106
134,134,2016/01/18_08:38,â€”President Obama #MLKDay,Obama,Japan,0.0
149,149,2016/01/08_14:29,Read President Obama's @NYTimes op-ed on how we all play a part in efforts to help #StopGunViolence in America:http://ofa.bo/h9koÂ,Obama,Japan,0.6249
150,150,2016/01/08_14:29,Read President Obama's @NYTimes op-ed on how we all play a part in efforts to help #StopGunViolence in America:http://ofa.bo/h9koÂ,@NYTimes op-ed,Germany,0.6249
168,168,2015/11/30_10:19,Read why the international climate talks in Paris are so important: http://ofa.bo/e5GUÂ  #COP21,Paris,France,0.3327
188,188,2015/09/30_15:26,http://ofa.bo/d5FJÂ pic.twitter.com/EoSWsROzjY,http://ofa.bo/d5FJÂ,Russia,0.0
195,195,2015/09/17_10:15,States and cities from the U.S. and China are pledging to #ActOnClimateâ€”years earlier than national targets.,China,China,0.0
199,199,2015/09/03_14:41,Under the #IranDeal Iran can't build a secret nuclear weapon.,Iran,Iran,-0.29600000000000004
209,209,2015/08/14_09:43,These three Marines lowered the American flag in #Cuba in 1961.,Cuba,Cuba,-0.128
211,211,2015/08/05_09:56,Now we have before us a solution that prevents Iran from obtaining a nuclear weapon without resorting to war.,Iran,Iran,0.5493
212,212,2015/08/05_09:51,"When we carefully examine the arguments against this deal none of them stand up to scrutiny.â€� â€”President Obama #IranDeal,https://twitter.com/BarackObama/status/628971616651776000,385,933,
2015/08/05_09:49,https://twitter.com/BarackObama,If Iran violates this deal we will have ample opportunity to respond.""",Iran,Iran,-0.4019
213,213,2015/08/05_09:40,We will continue to have sanctions in place on Iran's support for terrorism and violation of human rights.â€”President Obama #IranDeal,Iran,Iran,-0.7269
214,214,2015/08/05_09:39,â€œThere is no scenario where sanctions relief turns Iran into the region's dominate power.â€� â€”President Obama #IranDeal,Iran,Iran,0.1027
215,215,2015/08/05_09:35,The bottom line is if Iran cheats we can catch themâ€”and we will.,Iran,Iran,-0.4215
216,216,2015/08/05_09:32,â€œIf Iran violates the agreement over the next decade all of the sanctions can snap back in to place.â€� â€”President Obama #IranDeal,Iran,Iran,-0.0258
217,217,2015/08/05_09:30,Iran has powerful incentives to keep its commitments.,Iran,Iran,0.6808
218,218,2015/08/05_09:29,"This deal shuts off the type of covert program Iran has pursued in the past.â€� â€”President Obama #IranDeal,https://twitter.com/BarackObama/status/628966157706354688,340,679,
2015/08/05_09:27,https://twitter.com/BarackObama,In July we reached a comprehensive plan of action that meets our objectives.""",Iran,Iran,0.34
219,219,2015/08/05_09:25,â€œThe progress of Iran's nuclear program was halted for the first time in a decade.â€� â€”President Obama #IranDeal,Iran,Iran,0.4215
220,220,2015/08/05_09:22,It was diplomacy that ratcheted up the pressure on Iran.,Iran,Iran,-0.29600000000000004
222,222,2015/08/05_09:14,Even before taking office I made clear that Iran would not be allowed to acquire a nuclear weapon on my watch.,Iran,Iran,0.1027
223,223,2015/08/05_09:13,The question then is not whether to prevent Iran from obtaining a nuclear weapon but how.,Iran,Iran,-0.1623
224,224,2015/08/04_08:16,Wish him a happy 54th: http://ofa.bo/i9AAÂ  #44Turns54pic.twitter.com/x0U8OV7bro,http://ofa.bo/i9AAÂ,Russia,0.7506
225,225,2015/08/01_16:00,And thatâ€™s something worth celebrating.,thatâ€™s,None,0.6808
236,236,2015/07/13_10:31,Read the President's op-ed in @AARP on the importance of protecting Americansâ€™ retirement savings:http://ofa.bo/p98WÂ,@AARP,None,0.3612
286,286,2015/05/12_08:20,Sign on if you agree that working families deserve paid leave: http://ofa.bo/p5QGÂ  #LeadOnLeave,http://ofa.bo/p5QGÂ,Russia,0.3182
289,289,2015/05/08_09:59,If we don't write the rules for trade around the world guess what: China will.,China,China,0.0
301,301,2015/04/22_10:00,So is the historic agreement between the U.S. and China last fall to cut carbon pollution.,China,China,0.2732
304,304,2015/04/20_08:51,â€”President Obama #FindYourParkpic.twitter.com/Ars1nVGcxF,Obama,Japan,0.0
320,320,2015/03/24_15:39,â€”President Obama http://ofa.bo/e3wGÂ  #WHScienceFair,Obama,Japan,0.0
344,344,2015/01/30_08:19,http://ofa.bo/t2ewÂ,http://ofa.bo/t2ewÂ,Russia,0.0
351,351,2015/01/20_06:13,http://ofa.bo/g2RCÂ  #SOTUpic.twitter.com/mCCa93T9Wu,http://ofa.bo/g2RCÂ,Russia,0.0
352,352,2015/01/19_08:26,â€”President Obama #MLKDay,Obama,Japan,0.0
