,text,gpe,country,score,classified
640,Today both @BarackObama and @MittRomney are giving speeches on their economic policies in Ohio.,@BarackObama,Japan,0.34,Positive
3237,@CarlyFiorina Carly—I did graduate from Wharton and did very well.,@CarlyFiorina,San Marino,0.3384,Positive
9581,At the same time Syria and whoever they chose to help wants naturally to protect the Kurds....,Syria,Syria,0.6486,Positive
8901,We are doing very well with China and talking!,China,China,0.3989,Positive
1905,How far has the United States gone down when we are reduced to accept the imbecilic deal just agreed to with Iran.,Iran,Iran,0.7579,Positive
1497,Why is Senator John McCain in Syria visiting with the rebels- MAKE AMERICA GREAT AGAIN!,Syria,Syria,0.6514,Positive
6122,PM Abe and I are also working to improve the trading relationship between the U.S. and Japan something we have to do.,Japan,Japan,0.4404,Positive
9684,How come they (including the President of Ukraine) found NOTHING wrong with it.,Ukraine,Ukraine,0.3724,Positive
2176,I am in Toronto checking the great Trump International Hotel - highest rated hotel in Canada.,Toronto,Canada,0.6249,Positive
9017,The G7 in France was so successful and yet when I came back and read the Corrupt and Fake News and watched numerous networks it was not even recognizable from what actually took place at the Great G7 event!,Great G7,Canada,0.7997,Positive
9004,THANK YOU FRANCE???????,FRANCE,France,0.5362,Positive
7115,RT @realDonaldTrump: Another fantastic #MAGARally tonight in the Great State of Florida.,the Great State,Zimbabwe,0.8271,Positive
8876,The problem they have is that the economy is way too strong and we will soon be winning big on Trade and everyone knows that including China!,China,China,0.6476,Positive
2674,A huge honor for @TrumpToronto for being named #1 Luxury Hotel in Canada by @TripAdvisor's #TravelersChoice Awards http://t.co/hR6kBhUwBS,Canada,Canada,0.8176,Positive
7617,I will be leaving for Hanoi Vietnam early tomorrow for a Summit with Kim Jong Un of North Korea where we both expect a continuation of the progress made at first Summit in Singapore.,Singapore,Singapore,0.4215,Positive
1102,Karzai of Afghanistan is not sticking with our signed agreement.,Afghanistan,Afghanistan,0.4939,Positive
4263,With Luis Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted.,Mexico,Mexico,0.8481,Positive
