,text,gpe,country,score,classified
506,We come to remember why America and our allies gave so much for the survival of liberty.,America,United States,0.5267,Positive
42,Congrats @RalphNortham and @PhilMurphyNJ .,@PhilMurphyNJ,United States,0.5267,Positive
755,Retweet if you agree: Homeownership in America should be built on a durable and fair system.,America,United States,0.5859,Positive
671,Watch President Obama speak from San Francisco at 11:35 a.m. PST about the importance of passing #immigration reform: http://OFA.BO/6FLyEDÂ,San Francisco,United States,0.3612,Positive
725,President Obama spoke from the Lincoln Memorial yesterday to honor the 50th anniversary of the March on Washington: http://OFA.BO/5uAudRÂ,Washington,United States,0.4939,Positive
886,President Obama: â€œIn the end thatâ€™s what this is all about: Giving our kids the best possible shot at life.â€�,thatâ€™,None,0.765,Positive
476,Watch: See how this Maine shoe store owner takes care of his employees.,Maine,United States,0.4939,Positive
641,ENDS TODAY: Win a free trip to @OFA's birthday party in Washington D.C.â€”enter automatically.,Washington,United States,0.8689,Positive
309,ET to watch President Obama at Hill Air Force Base in Utah discuss the importance of clean energy: http://ofa.bo/d4GjÂ,Utah,United States,0.743,Positive
665,For a small business owner in New York Obamacare means better coverage a bigger network and serious savings:http://OFA.BO/QTNmMNÂ,New York,United States,0.3818,Positive
741,Check it out: A path to earned citizenship for undocumented immigrants brings huge benefits for the U.S. economy.http://OFA.BO/B32gtgÂ,U.S.,United States,0.5994,Positive
157,Enter nowâ€”and you and a friend could be headed to Alaska: http://ofa.bo/i9ZFÂ,Alaska,United States,0.4939,Positive
603,If you pledge to help with the final push for health care enrollment you could meet the President backstage in D.C.: http://ofa.bo/t4DÂ,D.C.,United States,0.7096,Positive
276,The President is pursuing the most progressive trade agreement in U.S. history.,U.S.,United States,0.5367,Positive
410,http://ofa.bo/d17UÂ  Say you're ready for America to get a raise.,America,United States,0.3612,Positive
348,Free community college is possibleâ€”and I want to spread that idea all across America.,America,United States,0.5574,Positive
224,Wish him a happy 54th: http://ofa.bo/i9AAÂ  #44Turns54pic.twitter.com/x0U8OV7bro,http://ofa.bo/i9AAÂ,Russia,0.7506,Positive
530,Two victories for clean energy in California: http://ofa.bo/fYbÂ  #ActOnClimate,California,United States,0.5859,Positive
99,Retweet if you believe it's time for the United States to #LeadOnLeave.pic.twitter.com/8jsAkBBqzx,the United States,United States,0.4215,Positive
754,Happening now: President Obama speaks in Phoenix about strengthening the housing market.,Phoenix,United States,0.4939,Positive
685,Congratulations to the Aloha State.,the Aloha State,United States,0.5994,Positive
409,Lew a business owner in St. Louis knows that a fair wage is a key part of the American dream.,St. Louis,United States,0.5106,Positive
564,I want us to have the best educated workforce in America and I want it to be the most diverse workforce in the world.,America,United States,0.7003,Positive
